DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2022.09.29,4:00:00,1.08055,1.08265,1.07817,1.0807,26626,0,0
2022.09.29,8:00:00,1.08073,1.08172,1.07622,1.07979,56769,0,0
2022.09.29,12:00:00,1.07979,1.08977,1.07968,1.08787,56661,0,0
2022.09.29,16:00:00,1.08787,1.11087,1.08783,1.10594,65873,0,0
2022.09.29,20:00:00,1.10598,1.11191,1.10375,1.11162,27616,0,0
2022.09.30,0:00:00,1.11099,1.12016,1.11077,1.11573,19083,0,3
2022.09.30,4:00:00,1.11572,1.1175,1.107,1.11059,32188,0,1
2022.09.30,8:00:00,1.1106,1.12346,1.10927,1.12173,54190,0,0
2022.09.30,12:00:00,1.12185,1.12211,1.1025,1.10687,56853,0,0
2022.09.30,16:00:00,1.10687,1.11769,1.10504,1.11295,68379,0,0
2022.09.30,20:00:00,1.11293,1.118,1.1118,1.11545,24797,0,0
2022.10.03,0:00:00,1.11595,1.11935,1.11103,1.11274,11965,0,0
2022.10.03,4:00:00,1.11275,1.11631,1.10859,1.10936,19181,0,1
2022.10.03,8:00:00,1.10936,1.12814,1.10912,1.12103,53511,0,0
2022.10.03,12:00:00,1.12103,1.12397,1.11693,1.12167,29038,0,0
2022.10.03,16:00:00,1.12167,1.13345,1.11999,1.1276,59744,0,0
2022.10.03,20:00:00,1.12762,1.13265,1.1265,1.13223,22890,0,0
2022.10.04,0:00:00,1.13186,1.13433,1.13097,1.133,10869,0,0
2022.10.04,4:00:00,1.133,1.1336,1.12802,1.1321,22431,0,1
2022.10.04,8:00:00,1.13208,1.14294,1.13184,1.13793,55798,0,0
2022.10.04,12:00:00,1.13792,1.13937,1.12992,1.1385,50167,0,0
2022.10.04,16:00:00,1.13856,1.14895,1.13513,1.14543,56019,0,0
2022.10.04,20:00:00,1.14544,1.14815,1.14273,1.14737,19205,0,1
2022.10.05,0:00:00,1.14733,1.14871,1.14198,1.14391,9996,0,5
2022.10.05,4:00:00,1.1439,1.14641,1.14137,1.14325,20237,0,1
2022.10.05,8:00:00,1.14325,1.1496,1.138,1.14225,45875,0,0
2022.10.05,12:00:00,1.14225,1.14294,1.13047,1.1321,38955,0,0
2022.10.05,16:00:00,1.13211,1.13277,1.12271,1.12906,54311,0,0
2022.10.05,20:00:00,1.12906,1.13566,1.12891,1.13253,23808,0,0
2022.10.06,0:00:00,1.13225,1.13833,1.12969,1.13629,18188,0,5
2022.10.06,4:00:00,1.13629,1.1379,1.13325,1.1366,25010,0,1
2022.10.06,8:00:00,1.1366,1.13672,1.12788,1.12885,48249,0,0
2022.10.06,12:00:00,1.12886,1.13157,1.12416,1.1266,42867,0,0
2022.10.06,16:00:00,1.1266,1.12694,1.11131,1.11442,57734,0,0
2022.10.06,20:00:00,1.11443,1.11929,1.11415,1.11576,26619,0,0
2022.10.07,0:00:00,1.11557,1.11726,1.11344,1.11481,14421,0,5
2022.10.07,4:00:00,1.11482,1.11892,1.11389,1.11538,17221,0,1
2022.10.07,8:00:00,1.1154,1.12192,1.11153,1.11927,43491,0,0
2022.10.07,12:00:00,1.1193,1.1225,1.10913,1.11326,39443,0,0
2022.10.07,16:00:00,1.11323,1.11698,1.10906,1.10976,55651,0,0
2022.10.07,20:00:00,1.10979,1.11042,1.10552,1.10863,24805,0,0
2022.10.10,0:00:00,1.10798,1.10958,1.10576,1.10876,20627,0,2
2022.10.10,4:00:00,1.10876,1.11109,1.10692,1.10806,25412,0,1
2022.10.10,8:00:00,1.10806,1.11107,1.10272,1.10547,47265,0,0
2022.10.10,12:00:00,1.10548,1.10999,1.10425,1.10737,31730,0,0
2022.10.10,16:00:00,1.10739,1.10813,1.10249,1.1027,44169,0,0
2022.10.10,20:00:00,1.10268,1.10816,1.10196,1.1054,29396,0,2
2022.10.11,0:00:00,1.10525,1.1095,1.10496,1.10873,13080,0,0
2022.10.11,4:00:00,1.10873,1.10943,1.10179,1.10233,29640,0,0
